pkey,id,date,security,asset,liability
546,402,2002-12-31,34307,94571,82027
547,404,2002-03-31,14809,48957,44248
548,404,2002-06-30,13963,48990,43863
549,404,2002-09-30,12008,48987,43633
550,404,2002-12-31,15988,50222,45128
551,406,2002-03-31,8150,31823,23817
552,406,2002-06-30,7813,31796,23235
553,406,2002-09-30,7344,31690,22747
554,406,2002-12-31,12386,36581,27979
555,409,2002-03-31,0,20972,18891
556,409,2002-06-30,0,22811,20667
557,413,2002-03-31,123279,940506,865715
558,413,2002-06-30,113670,954671,876053
559,413,2002-09-30,124102,996117,915900
560,413,2002-12-31,118375,1020000,932656
561,414,2002-03-31,20562,119139,101666
562,414,2002-06-30,18916,118554,100011
563,414,2002-09-30,18248,117266,98063
564,414,2002-12-31,17042,120519,101382
565,416,2002-03-31,0,61055,55458
566,416,2002-06-30,0,65320,59867
567,416,2002-09-30,0,68062,62520
568,416,2002-12-31,0,70878,65039
569,417,2002-03-31,75,24567,22458
570,417,2002-06-30,73,23965,21744
571,417,2002-09-30,30,22405,20125
572,417,2002-12-31,29,22917,20610
573,418,2002-03-31,5487,46377,43186
574,418,2002-06-30,6101,43739,40374
575,418,2002-09-30,4055,41941,38570
576,418,2002-12-31,3551,40316,36980
577,419,2002-03-31,0,25622,23454
578,419,2002-06-30,0,25418,23153
579,419,2002-09-30,0,25882,23551
580,419,2002-12-31,0,25422,23102
581,420,2002-03-31,2910,21769,18767
582,420,2002-06-30,3460,21861,18771
583,420,2002-09-30,3959,22408,19160
584,420,2002-12-31,3564,21956,18708
585,421,2002-03-31,2811,74614,64206
586,421,2002-06-30,2667,74850,64182
587,421,2002-09-30,2524,72046,60846
588,421,2002-12-31,2275,72237,61334
589,422,2002-03-31,11740,74342,63851
590,422,2002-06-30,11254,74450,63766
591,422,2002-09-30,9982,73324,61922
592,422,2002-12-31,9275,73775,62734
593,428,2002-03-31,1680,55924,48200
594,428,2002-06-30,1857,58106,50675
595,428,2002-09-30,1691,55813,48028
596,428,2002-12-31,1499,56046,48892
597,429,2002-03-31,32,38525,35549
598,429,2002-06-30,29,38944,35890
599,429,2002-09-30,28,41896,38707
600,429,2002-12-31,26,41866,38587
601,432,2002-03-31,0,84411,78645
602,432,2002-06-30,0,79948,73563
603,432,2002-09-30,0,77022,70906
604,432,2002-12-31,0,77826,72324
605,436,2002-03-31,0,362300,326590
606,436,2002-06-30,0,381417,344574
